                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2059,                 5.6222,                 4.1586,                0.00015,                0.03419,                  9e-05,                  3e-05,                 3.5259,                 5.2303,                 4.1049,             0.00046551,             0.00046551,             0.00046551
                      1,                 3.2161,                 5.1749,                 3.9613,                0.00028,                0.09402,                0.00034,                  9e-05,                  3.627,                 5.5772,                 4.4031,             0.00092319,             0.00092319,             0.00092319
                      2,                 3.0168,                 4.6991,                 3.4551,                0.00251,                0.03134,                0.00128,                0.00057,                 3.0052,                 67.235,                 3.4838,               0.001362,               0.001362,               0.001362
                      3,                 2.7259,                 4.3164,                 3.0579,                0.34491,                0.05983,                0.00764,                0.00327,                 2.4811,                 27.081,                 2.7951,              0.0013441,              0.0013441,              0.0013441
                      4,                 2.6665,                 4.0683,                 2.8763,                0.33551,                0.09687,                 0.0019,                0.00084,                 2.4396,                  28.86,                  2.572,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.5612,                 3.7009,                 2.7407,                0.74064,                0.08547,                0.04871,                0.01804,                 2.1401,                 3.3462,                 2.3319,              0.0013158,              0.0013158,              0.0013158
                      6,                 2.4348,                 3.3968,                 2.6559,                0.69399,                0.20992,                0.18025,                 0.0759,                  2.036,                  2.945,                 2.1839,              0.0012875,              0.0012875,              0.0012875
                      7,                 2.3046,                 3.0779,                 2.4737,                0.59038,                0.17094,                 0.1396,                0.06291,                  1.907,                 2.6917,                 2.1107,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.2365,                 2.8808,                  2.406,                0.67259,                0.18234,                0.21982,                0.11472,                 1.8395,                 2.4605,                 2.0214,              0.0012309,              0.0012309,              0.0012309
                      9,                 2.1513,                 2.8187,                 2.3591,                0.70608,                0.23362,                0.16857,                0.08267,                 1.6762,                 2.3844,                 1.9268,              0.0012026,              0.0012026,              0.0012026
                     10,                 2.0581,                 2.6697,                 2.2482,                0.60636,                0.21368,                0.19888,                 0.1178,                 1.6971,                 2.4246,                 1.9071,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.9997,                 2.6172,                 2.1822,                 0.7198,                0.27152,                0.27403,                0.16521,                 1.6391,                  2.111,                  1.851,              0.0011461,              0.0011461,              0.0011461
